Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDO16,OUT035,2041.7755699999993
FDC60,OUT049,2465.25766
FDA48,OUT018,1842.90111
FDZ36,OUT027,4106.587820000001
FDK27,OUT045,1804.61761
FDW23,OUT018,1663.1351099999997
FDM14,OUT018,1488.12958
FDM14,OUT013,2469.18588
FDW60,OUT018,1954.6889299999998
FDE21,OUT013,1899.3276599999997
NCM42,OUT035,1944.53548
FDY59,OUT010,218.24924000000001
DRI49,OUT049,1810.3102
FDT28,OUT019,305.83523
FDQ22,OUT018,1601.21571
FDR60,OUT049,1443.65414
FDC50,OUT019,354.77153
FDV24,OUT013,2301.17125
DRF48,OUT010,382.13591
FDQ47,OUT046,2141.3126700000003
DRN36,OUT049,1770.3289100000002
NCY06,OUT035,2855.9491
FDE52,OUT035,2264.58554
NCB54,OUT045,2013.97842
NCF31,OUT035,2660.1373200000007
FDJ08,OUT027,4806.510069999999
NCC07,OUT017,2030.78987
NCD19,OUT027,1905.81921
FDL46,OUT049,2190.44871
FDM20,OUT045,2840.6357000000003
NCI06,OUT010,419.88676999999996
DRM11,OUT035,3103.3270899999998
NCH07,OUT018,2339.9873900000002
FDS23,OUT013,2205.2294699999998
FDO49,OUT018,1279.3014099999998
FDS35,OUT049,1538.2310299999997
DRK39,OUT045,1606.6419799999999
DRI39,OUT049,1339.0902500000002
FDV04,OUT017,2426.14191
NCN14,OUT035,2689.99845
FDH08,OUT013,3198.73623
FDS20,OUT046,3049.16426
FDV40,OUT049,1481.7379
FDZ48,OUT010,270.44796
FDS24,OUT027,3603.34289
FDK44,OUT049,2977.4576000000006
FDS48,OUT045,2089.6133
FDK26,OUT010,364.09273
FDD23,OUT045,2772.3579099999997
NCH54,OUT017,2308.8945300000005
NCP14,OUT010,288.1582400000001
FDM60,OUT010,219.714
FDV24,OUT017,2353.2368100000003
FDH08,OUT018,2689.93187
FDS12,OUT027,2835.5090400000004
FDR39,OUT027,4055.5209600000003
FDP12,OUT027,3603.34289
DRF60,OUT027,3161.71775
FDC09,OUT035,1798.02619
FDF50,OUT018,2466.8222899999996
FDG28,OUT035,3046.9005399999996
NCE19,OUT017,1054.16114
NCM53,OUT010,423.5819600000001
NCN18,OUT049,2392.91849
FDF32,OUT035,2748.18937
FDF11,OUT013,3198.66965
DRI59,OUT049,1995.80208
NCG54,OUT035,3108.18743
FDM44,OUT046,1912.3107599999998
FDT57,OUT018,2200.8351900000002
FDV24,OUT046,1617.3946500000002
FDI50,OUT019,413.39522
FDS09,OUT035,1736.3065300000003
NCC31,OUT027,3738.367130000001
FDQ07,OUT019,329.40455000000003
FDC22,OUT017,2757.6437300000002
FDZ56,OUT046,2187.78551
FDZ40,OUT019,290.75486
FDS46,OUT027,3278.1994600000007
DRD24,OUT045,2357.73096
FDV45,OUT017,3390.3867600000003
FDL26,OUT045,2701.71653
FDA56,OUT018,1781.2147400000001
FDN27,OUT046,1841.3031899999994
FDM20,OUT049,3520.8835599999993
FDO16,OUT017,1235.0257100000001
FDL03,OUT035,2749.754
FDE58,OUT046,2355.13434
FDI02,OUT027,3283.8254700000007
NCC55,OUT019,200.13948
FDR03,OUT018,2170.87419
FDB14,OUT017,2354.20222
FDR45,OUT013,3514.6583299999998
NCN07,OUT017,2019.73759
FDM51,OUT019,445.78639000000004
FDT52,OUT027,3700.08363
FDL26,OUT046,2370.44774
NCZ42,OUT046,2709.2067799999995
DRI47,OUT019,315.12314
FDW40,OUT013,2414.1908
FDN34,OUT046,2291.3507
FDS01,OUT035,2346.21262
NCG55,OUT045,2239.95094
FDC11,OUT035,2305.96501
FDX35,OUT018,2812.60552
NCB06,OUT046,2426.67455
FDR09,OUT019,400.31225000000006
FDC53,OUT017,1183.19318
FDY45,OUT013,3741.56297
FDA22,OUT010,415.52578000000005
FDE02,OUT035,2054.9917
FDW21,OUT045,1728.0839
FDV34,OUT046,1696.6248500000002
FDS59,OUT049,1684.00794
NCW17,OUT017,2256.7291
NCK54,OUT046,1916.2056900000002
FDG17,OUT019,419.62045
FDG35,OUT017,2521.9172399999998
FDD08,OUT010,290.78815
NCO07,OUT017,2643.09284
FDJ10,OUT010,541.02908
FDW36,OUT017,1783.7114900000001
FDW21,OUT010,332.80013
FDY19,OUT017,1966.6067499999997
DRE03,OUT013,1705.24696
NCC55,OUT049,1431.17039
FDH52,OUT010,280.33509000000004
FDO09,OUT017,4009.3477300000004
FDU43,OUT045,3581.37149
FDX09,OUT010,328.23940000000005
FDH40,OUT019,315.72236000000004
FDW58,OUT017,2033.15346
FDC47,OUT017,3890.66888
NCR41,OUT035,1738.57025
DRG49,OUT035,2159.4557200000004
FDC52,OUT027,3470.8819799999997
FDY13,OUT046,2328.2360200000003
FDY35,OUT013,1312.2918
FDI35,OUT017,2896.76264
NCU18,OUT049,3262.2202599999996
FDY33,OUT018,2194.4768
FDC15,OUT027,4012.51028
FDU01,OUT049,2105.15973
NCU42,OUT046,2533.43558
NCV29,OUT018,2185.4219200000002
NCY30,OUT017,2974.1618900000003
FDQ46,OUT049,2400.04255
FDG58,OUT027,3974.6928399999997
FDK33,OUT017,3233.7240199999997
NCD07,OUT045,1781.6808
NCX29,OUT027,3816.7983699999995
NCT42,OUT013,2484.83218
DRN59,OUT035,1893.7682300000001
FDI44,OUT035,1846.4631399999998
FDA45,OUT049,2395.7148499999994
FDP31,OUT045,1381.3352599999998
FDY01,OUT046,2039.51185
FDT09,OUT018,1763.5710400000003
DRH03,OUT027,3509.0989
FDA36,OUT018,1842.9011100000002
NCF31,OUT017,2561.26602
FDG14,OUT049,2009.8837500000004
FDG28,OUT027,3700.08363
FDU14,OUT049,2182.9251699999995
FDY47,OUT019,306.53432000000004
FDI56,OUT049,2196.1413000000002
DRD01,OUT013,1210.9903299999999
FDM22,OUT046,1516.15976
FDH33,OUT013,1875.6917600000002
DRZ24,OUT013,2616.5607099999997
NCQ38,OUT046,1674.9197699999997
FDO16,OUT027,2518.15547
FDU07,OUT027,4772.620849999999
NCB07,OUT013,2826.7870599999997
FDU48,OUT045,1846.52972
NCM43,OUT045,2488.3942100000004
FDR31,OUT010,261.52624000000003
DRK49,OUT018,2079.42656
NCI30,OUT010,425.81238999999994
DRD60,OUT017,3047.99911
NCG19,OUT046,2754.61434
FDH12,OUT035,1755.2485399999998
FDM32,OUT035,1855.15183
FDM27,OUT035,2732.0437200000006
NCU53,OUT027,4131.055969999999
NCQ18,OUT046,1656.54369
FDS10,OUT013,3140.5786
FDB33,OUT027,5072.230849999999
FDI12,OUT013,1431.23697
NCW42,OUT013,3018.53746
NCC06,OUT018,1683.0092399999999
FDW02,OUT017,1915.1736999999998
NCD43,OUT017,1823.7260700000002
FDM57,OUT018,1451.24426
FDA58,OUT017,3210.75392
FDK56,OUT046,2894.3990500000004
FDP52,OUT045,2995.4341999999997
FDW20,OUT018,1727.9840299999996
FDS52,OUT049,1667.2630699999997
NCT29,OUT018,1418.0208400000001
NCL54,OUT013,3046.5343499999994
FDC05,OUT045,2508.03531
FDF34,OUT035,3030.6550199999997
FDP03,OUT027,3843.5635300000004
FDD32,OUT010,245.11427000000003
FDZ10,OUT045,2244.5116700000003
FDZ40,OUT035,1702.58376
FDD51,OUT018,1365.8554099999997
NCY30,OUT019,332.43394
FDP58,OUT017,2841.5012400000005
FDV49,OUT017,4022.96334
FDY24,OUT019,277.67189000000013
NCO55,OUT017,2173.30436
FDR13,OUT017,2003.8249700000001
FDS51,OUT017,1432.03593
FDP26,OUT045,1562.39957
NCB54,OUT027,3494.88407
FDF32,OUT017,3301.63562
FDN31,OUT018,2450.31045
DRM48,OUT017,1165.34974
FDN20,OUT049,3068.17285
DRL01,OUT046,2977.52418
FDV56,OUT049,1987.87906
DRH13,OUT027,3064.3777899999995
FDA03,OUT017,2758.14308
FDF47,OUT027,5198.499820000001
FDX32,OUT046,2628.9445899999996
FDX57,OUT049,1794.4308700000001
NCA30,OUT045,2433.69874
FDO49,OUT013,988.9127400000001
FDL04,OUT019,302.43965000000003
DRM48,OUT035,2025.6299200000005
FDR16,OUT013,2692.8946800000003
NCC19,OUT018,2347.11145
NCE42,OUT045,3028.0583999999994
FDY24,OUT017,1412.32825
FDH19,OUT049,2162.5516900000002
FDJ46,OUT013,3400.9729799999996
FDN45,OUT010,390.15880000000004
FDY08,OUT035,2150.66716
FDZ37,OUT035,2362.19182
NCT30,OUT045,2051.42967
DRY23,OUT018,860.6796600000001
NCZ30,OUT018,2040.7435799999998
FDC44,OUT018,1586.9343
FDB45,OUT035,2206.49449
FDY04,OUT013,2535.66601
FDM27,OUT046,2128.99537
FDZ43,OUT017,3875.1890300000005
FDT39,OUT019,414.2940500000001
NCC06,OUT019,257.63131000000004
FDL15,OUT027,3904.8837100000005
FDL57,OUT017,4242.07812
FDU08,OUT046,1890.10633
FDK40,OUT017,3206.69254
FDQ12,OUT010,330.46983
FDS48,OUT017,2104.9932799999997
FDP09,OUT045,2947.8295000000003
FDW21,OUT049,1794.0979700000003
FDY25,OUT035,2412.7260400000005
DRE13,OUT017,1616.2960799999998
FDV43,OUT019,365.65736
FDD22,OUT045,1654.47971
FDM46,OUT019,392.95516000000003
NCO30,OUT010,370.81731
FDM25,OUT046,2478.2074700000003
NCN41,OUT049,1947.9310599999997
FDU24,OUT045,1453.34153
FDZ50,OUT046,2320.17984
FDP45,OUT013,2743.29574
NCM54,OUT045,2255.59724
FDW10,OUT019,423.4488
FDP20,OUT017,2285.12547
FDK32,OUT046,2628.9445899999996
FDN52,OUT049,2304.6334099999995
FDM58,OUT045,2116.977679999999
FDZ46,OUT027,3269.84367
NCA18,OUT018,1827.9539
FDD35,OUT046,2339.9873900000002
NCK31,OUT035,1475.2796400000002
FDI40,OUT027,2720.72512
FDT50,OUT019,320.74915
NCT06,OUT046,2203.8645799999995
FDT31,OUT035,2619.0907500000003
FDT45,OUT049,2371.51302
FDT13,OUT045,3224.20308
FDO50,OUT045,1753.7504900000004
NCU18,OUT010,321.21520999999996
NCR54,OUT049,3417.1519200000002
NCO18,OUT018,2326.90442
FDU09,OUT045,1171.9744500000002
FDT13,OUT018,2127.46403
FDE09,OUT046,2255.23105
NCK53,OUT019,422.51668
FDG45,OUT049,3070.9026299999996
DRH15,OUT035,2264.61883
FDO21,OUT019,363.39363999999995
FDD14,OUT027,3982.74902
FDC09,OUT046,2295.31221
FDH45,OUT027,2583.9698000000003
FDV32,OUT046,1931.4192200000002
FDG12,OUT035,1944.1692899999998
FDS32,OUT013,2355.5338200000006
NCL55,OUT018,1790.8688399999996
DRE01,OUT035,2159.45572
DRE15,OUT049,1407.7342300000003
NCL42,OUT045,3066.4417700000004
FDP31,OUT013,1646.6232699999996
FDN33,OUT018,1722.1915700000002
FDZ59,OUT046,2406.3010700000004
FDE45,OUT010,298.17853
FDJ07,OUT013,1949.2293699999998
FDQ45,OUT018,2375.7408500000006
FDM33,OUT027,5390.050479999999
FDO15,OUT010,372.28207000000003
FDM46,OUT013,2220.07681
FDR03,OUT045,2980.68673
FDY49,OUT018,2131.7251499999993
FDQ60,OUT045,2134.0221600000004
FDW10,OUT049,2459.5317800000003
FDO51,OUT049,2034.2853200000002
FDJ40,OUT018,1396.08273
FDS20,OUT018,2685.7706200000002
FDU45,OUT013,2378.60379
FDV02,OUT035,2432.33385
FDN09,OUT046,3014.8755599999995
NCM55,OUT027,3647.5853
FDN23,OUT018,1780.8818400000005
FDY31,OUT010,303.9709899999999
FDW03,OUT010,400.71172999999993
FDD14,OUT046,2377.3387700000003
FDV23,OUT017,1878.65457
DRI03,OUT045,2616.99348
FDN13,OUT035,1873.9273899999996
FDF45,OUT027,2698.3209500000003
FDU46,OUT035,1657.94187
FDB57,OUT049,2965.53978
FDV12,OUT049,2055.2580199999998
FDQ58,OUT013,2933.31506
NCA18,OUT017,1842.3018899999995
FDH52,OUT049,2121.80473
FDM24,OUT018,1954.6889299999998
NCP43,OUT027,3744.2261700000004
NCO18,OUT019,332.43394
FDM32,OUT017,2353.2701
NCL07,OUT017,1892.3700500000002
FDK03,OUT013,2650.91599
FDP59,OUT017,2076.33059
FDQ24,OUT049,2081.3573800000004
FDQ16,OUT018,1474.44739
FDU44,OUT013,2402.50601
FDH28,OUT010,287.52572999999995
FDV28,OUT019,260.09477000000004
FDM22,OUT045,957.6201400000002
FDR56,OUT046,2927.5226
FDV39,OUT049,1936.9120700000003
FDU37,OUT019,253.63651000000004
FDQ11,OUT010,635.7391299999999
FDX02,OUT045,3378.00288
NCS42,OUT018,1756.97962
FDY57,OUT027,2810.6414099999997
FDB21,OUT049,3366.2515100000005
FDE28,OUT017,3444.7826199999995
FDQ55,OUT017,1973.1648800000003
FDA48,OUT049,2081.3573800000004
FDZ19,OUT045,2606.57371
NCC43,OUT045,3548.4476799999998
NCV18,OUT046,1524.58213
NCA42,OUT018,2192.27966
FDY45,OUT046,2692.8613899999996
NCC30,OUT045,2688.3339500000006
FDM57,OUT013,2367.15203
FDL09,OUT010,389.72603
FDB09,OUT027,3854.6158100000002
FDT44,OUT035,1905.6527600000002
NCT06,OUT027,4338.286219999999
FDX26,OUT049,1980.88816
FDK32,OUT013,2451.60876
DRA12,OUT046,1967.0395200000003
FDO46,OUT010,397.91537000000005
FDE52,OUT013,1961.1471900000001
NCH42,OUT045,3637.43185
FDV08,OUT035,1572.8526299999999
FDB47,OUT018,2106.62449
FDC28,OUT010,241.65211
FDD22,OUT046,2204.2307699999997
FDS07,OUT027,3594.28801
DRI13,OUT045,3017.2391500000003
FDG32,OUT018,2247.57435
FDU14,OUT017,3831.079779999999
FDD28,OUT019,291.25421
NCP41,OUT017,2172.27237
FDS08,OUT049,2646.7214500000005
FDX47,OUT045,2918.13482
FDC53,OUT019,334.49791999999997
FDQ19,OUT035,2799.3561
FDL14,OUT045,2830.8484400000007
FDM33,OUT019,441.29224000000005
FDA51,OUT045,1744.4292900000005
FDZ27,OUT018,1311.32639
FDT04,OUT046,1002.2620300000001
DRC13,OUT049,2261.4562799999994
FDR16,OUT027,3709.5379899999994
FDQ03,OUT027,4285.52157
FDE38,OUT035,2258.26044
DRH23,OUT027,2789.96832
FDT11,OUT019,400.67844
FDD09,OUT035,2654.27828
FDR40,OUT045,1271.0122000000001
FDX07,OUT017,3183.68915
FDR07,OUT035,2210.4892900000004
FDA51,OUT017,2038.8460499999997
FDT59,OUT019,449.48157999999995
FDF20,OUT017,2859.81074
FDR13,OUT045,1851.3567699999999
FDY26,OUT049,2425.6425600000002
FDW04,OUT017,1946.3331400000002
FDK52,OUT017,3721.822
FDN60,OUT049,2081.35738
FDM09,OUT019,321.68127
FDP46,OUT049,2301.6706
FDB50,OUT019,383.16790000000003
NCQ29,OUT049,2882.0484600000004
FDP16,OUT027,4646.018980000001
FDX33,OUT018,2488.5939500000004
FDP07,OUT010,367.65476
FDN22,OUT046,2727.2832499999995
FDF39,OUT049,2440.35674
FDS21,OUT017,1624.6185800000003
NCM42,OUT013,1812.57392
FDK50,OUT019,432.96974
DRF13,OUT027,3162.1838099999995
FDH35,OUT018,1873.52791
FDP60,OUT018,1737.13878
DRJ49,OUT027,3028.3913000000002
NCT42,OUT019,274.00999
FDE38,OUT049,2132.09134
FDI04,OUT049,2551.07928
NCH54,OUT045,2570.45406
FDT56,OUT049,1845.3978600000003
DRD15,OUT018,2566.0930700000004
FDV58,OUT013,3220.2415699999997
FDP21,OUT049,2384.5959900000003
FDH05,OUT013,3081.3224
FDR10,OUT027,3713.93227
NCP06,OUT045,2551.04599
FDF33,OUT049,1437.8616800000002
DRK37,OUT013,2876.2892899999997
DRH49,OUT045,1960.08191
FDT58,OUT013,2925.62507
FDD41,OUT018,1562.49944
FDP40,OUT018,1562.49944
FDM51,OUT027,3843.5635300000004
FDO45,OUT010,361.32966
FDW33,OUT010,326.00897
FDY24,OUT045,1653.58088
FDB10,OUT010,341.05605
FDM40,OUT035,2347.4443500000007
NCI06,OUT017,3174.8673000000003
FDW12,OUT019,344.01886
FDX48,OUT027,4106.587820000001
NCW05,OUT027,2967.10441
FDX27,OUT017,2275.13847
DRM37,OUT045,3160.31957
FDA38,OUT045,2962.4438099999998
FDR36,OUT046,1974.26345
FDZ45,OUT046,2883.51322
FDG05,OUT017,2439.8906799999995
FDK28,OUT013,2751.21876
FDV47,OUT045,1712.0048300000003
FDN21,OUT045,2767.49757
FDP20,OUT027,3992.43641
FDI35,OUT045,2893.03416
DRY23,OUT013,1884.04755
FDA56,OUT017,1779.45037
FDB09,OUT013,1873.82752
NCO26,OUT027,3236.55367
FDQ49,OUT018,2686.4364199999995
FDI52,OUT027,2989.9746399999995
FDZ44,OUT027,3696.25528
FDZ09,OUT018,2344.0820599999997
FDY03,OUT049,2137.7506400000007
NCG42,OUT017,2257.7278
DRI13,OUT027,3162.1838099999995
FDQ32,OUT013,2036.78207
FDW16,OUT035,1816.06937
FDU27,OUT046,1950.92716
FDR28,OUT010,368.91978
FDQ49,OUT010,403.47479999999996
FDS37,OUT046,2451.94166
FDW26,OUT018,2318.0825700000005
FDX12,OUT018,2499.61294
NCP06,OUT013,1978.2915400000002
FDW45,OUT010,404.90627
NCN30,OUT049,2252.63443
FDN24,OUT049,1841.5362200000004
NCL41,OUT027,2494.28654
FDR02,OUT019,319.05135999999993
FDD09,OUT010,306.76734999999996
FDS33,OUT010,332.80013
FDU22,OUT045,2188.75092
FDI53,OUT013,2717.4294099999997
DRH01,OUT049,2338.0565699999997
FDX32,OUT013,2299.07398
NCP30,OUT018,1156.59447
FDB60,OUT045,2767.0647999999997
FDB14,OUT049,1957.68503
NCP02,OUT035,1955.0551199999998
FDJ10,OUT017,2271.4099899999997
FDG34,OUT046,1829.8514299999995
NCB18,OUT017,1534.4692600000003
FDM16,OUT049,2304.63341
FDW25,OUT018,1791.76767
FDB35,OUT010,230.06718999999998
DRN11,OUT013,2723.0554199999997
FDF41,OUT019,378.27427000000006
FDH16,OUT045,1153.13231
NCQ50,OUT018,2719.1272
DRH23,OUT018,1824.0922599999994
DRJ37,OUT013,2745.9589399999995
DRJ24,OUT027,3161.71775
FDY16,OUT035,2533.1359700000003
FDQ27,OUT045,2176.53349
FDZ33,OUT045,2186.52049
FDF29,OUT045,2166.5797799999996
FDA08,OUT049,2773.02371
FDG31,OUT046,1395.91628
FDE34,OUT019,394.32005
NCR30,OUT027,1923.6293600000001
FDV33,OUT035,3076.69509
DRZ24,OUT018,2079.42656
NCL54,OUT035,3105.72397
FDR12,OUT049,3033.2849300000003
NCC54,OUT046,2844.7636599999996
DRN59,OUT013,2471.0501199999994
FDX50,OUT019,294.78295
FDV31,OUT027,4924.5897
NCA29,OUT027,4470.21449
FDW60,OUT049,2662.6673600000004
FDX08,OUT017,2735.4725900000003
DRD49,OUT013,2974.42821
FDD33,OUT046,3121.83633
FDW35,OUT013,1340.62159
FDJ36,OUT017,1593.52572
FDV51,OUT035,2738.80159
FDW36,OUT046,1694.62745
FDH35,OUT046,2287.3891900000003
NCS30,OUT027,3351.90352
FDN49,OUT017,1667.7957099999999
FDL08,OUT018,2840.2029300000004
FDI09,OUT013,3651.7798399999992
FDP19,OUT018,1647.35565
FDU21,OUT010,319.01806999999997
NCP41,OUT045,2131.02606
FDY10,OUT013,2154.3623500000003
FDP12,OUT018,1781.6142200000002
NCN26,OUT049,2519.58694
FDK44,OUT013,2526.8774500000004
FDC28,OUT049,1695.69273
FDJ41,OUT027,4611.86344
NCT29,OUT035,2276.6698100000003
NCH42,OUT019,399.31355
FDU60,OUT018,2311.75747
FDS02,OUT045,4021.864769999999
FDC51,OUT046,2189.31685
FDU03,OUT013,2442.32085
FDX39,OUT045,3045.13617
NCY05,OUT010,316.7210600000001
NCL06,OUT027,6210.915300000001
FDD32,OUT035,1970.20207
NCN41,OUT045,2036.7154899999998
NCX53,OUT049,2184.78941
FDU57,OUT019,288.02508
FDQ23,OUT046,2301.5374400000005
FDQ52,OUT045,3914.6043900000013
FDC14,OUT045,1696.15879
FDY09,OUT035,3827.6176199999995
FDQ28,OUT045,2721.8236899999997
FDV25,OUT046,2794.22944
FDJ07,OUT035,2055.8572400000003
DRB25,OUT049,1947.09881
FDK52,OUT019,388.89378000000005
FDY52,OUT027,2551.1125700000002
FDB28,OUT046,2258.9262400000002
FDT36,OUT035,1761.2074500000003
FDV25,OUT017,3164.48082
NCN07,OUT027,3131.82333
FDC57,OUT017,3230.1287
FDQ03,OUT018,2292.8820399999995
FDU23,OUT017,2682.67465
NCX41,OUT035,2939.60687
NCD06,OUT035,1808.9453099999998
FDW08,OUT045,2183.19149
NCU29,OUT017,1948.7300199999997
NCE06,OUT013,2634.2377000000006
FDV52,OUT010,288.35798
FDB02,OUT017,3064.8105600000004
NCR18,OUT045,1333.9303000000002
FDK16,OUT049,1667.2630700000002
NCQ29,OUT010,429.70732
FDZ01,OUT019,289.85603000000003
FDW27,OUT035,2470.41761
FDD17,OUT018,2289.38659
FDW39,OUT013,2327.2373199999997
DRH59,OUT045,1784.1442599999998
FDS52,OUT013,1676.9171700000002
FDU40,OUT027,4611.86344
NCF54,OUT013,2635.20311
FDH46,OUT045,1553.41127
NCP14,OUT049,1832.5479199999997
FDH50,OUT049,2015.21015
DRF15,OUT010,348.04695000000004
FDV27,OUT027,3843.5635300000004
NCJ06,OUT049,2835.60891
FDN02,OUT018,2148.1371200000003
FDQ51,OUT049,2054.4923499999995
FDQ07,OUT017,3546.3171199999997
FDS45,OUT049,1798.6587
NCJ06,OUT045,1755.58144
FDD36,OUT035,2022.7003999999997
FDY25,OUT045,2890.43754
FDU52,OUT046,2203.7647100000004
DRK47,OUT017,3097.0019899999998
NCL30,OUT017,2561.9318200000002
FDN22,OUT035,3095.93671
NCF30,OUT027,3681.2082
FDK03,OUT035,3231.8930700000005
FDT45,OUT017,1235.8579599999998
NCC54,OUT027,4727.41303
FDP08,OUT018,2227.6336399999996
FDU44,OUT046,2837.43986
DRG39,OUT035,2233.9920300000003
FDU32,OUT049,2047.9342199999999
FDY27,OUT049,1803.5856199999998
NCP54,OUT013,1816.7018799999998
NCZ41,OUT049,2052.12876
DRL49,OUT013,2798.8900399999998
FDI05,OUT018,1357.5329099999997
FDY56,OUT045,3386.6249899999993
DRC13,OUT013,2102.2635
NCV29,OUT017,2735.6057499999997
FDR24,OUT049,2055.2580199999998
FDZ34,OUT018,1865.0722500000004
FDP37,OUT035,2337.02458
FDX08,OUT027,5322.837969999999
FDS57,OUT045,2765.7997800000003
NCG18,OUT049,2623.0855499999993
FDK25,OUT018,2558.4363700000004
FDH53,OUT049,2133.9555800000007
DRI59,OUT018,2367.8511200000003
FDA52,OUT046,2524.54715
FDT20,OUT010,304.30388999999997
FDE36,OUT019,358.30027000000007
FDI24,OUT017,2530.00671
FDB28,OUT018,2342.6838799999996
FDV11,OUT017,2959.24797
FDP01,OUT046,2670.9898600000006
FDD34,OUT027,3713.93227
FDJ50,OUT027,3312.12197
FDZ44,OUT013,1931.5190900000005
DRO59,OUT035,2115.01357
DRB48,OUT045,1150.93517
FDR21,OUT018,2423.3455499999995
NCE42,OUT010,439.19497
FDO23,OUT046,2046.8356500000002
NCE30,OUT018,2673.02055
FDQ22,OUT035,1362.26009
FDY01,OUT045,2256.6292300000005
FDS08,OUT017,2332.83004
FDG28,OUT018,1914.34145
FDQ51,OUT018,2128.7290500000004
FDB05,OUT017,3498.94545
FDO56,OUT049,2259.25914
FDE02,OUT018,1700.6196499999999
FDN45,OUT017,3081.0227900000004
FDS09,OUT013,1536.3667899999998
NCA54,OUT018,2649.61768
